"sample_time","device_data"
"1639053434222","{""humidity"":{""N"":""0.657004""},""PM10"":{""N"":""11.2""},""temp"":{""N"":""7.563145""},""PM25"":{""N"":""1.8""}}"
"1639019309428","{""humidity"":{""N"":""0.706461""},""PM10"":{""N"":""6.6""},""temp"":{""N"":""5.331364""},""PM25"":{""N"":""1.9""}}"
"1638828976546","{""humidity"":{""N"":""0.895738""},""PM10"":{""N"":""4.9""},""temp"":{""N"":""2.302174""},""PM25"":{""N"":""2.2""}}"
"1639142527399","{""humidity"":{""N"":""0.676405""},""PM10"":{""N"":""4.8""},""temp"":{""N"":""6.651089""},""PM25"":{""N"":""1.7""}}"
"1639217073077","{""humidity"":{""N"":""0.85206""},""PM10"":{""N"":""12.5""},""temp"":{""N"":""5.120945""},""PM25"":{""N"":""4.2""}}"
"1639220667319","{""humidity"":{""N"":""0.787383""},""PM10"":{""N"":""12.4""},""temp"":{""N"":""6.508392""},""PM25"":{""N"":""3.9""}}"
"1639048043461","{""humidity"":{""N"":""0.768608""},""PM10"":{""N"":""9.5""},""temp"":{""N"":""5.237503""},""PM25"":{""N"":""2.3""}}"
"1638852315910","{""humidity"":{""N"":""0.922088""},""PM10"":{""N"":""4.8""},""temp"":{""N"":""1.461845""},""PM25"":{""N"":""2.1""}}"
"1639340995152","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""10.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2""}}"
"1638814617140","{""humidity"":{""N"":""0.777711""},""PM10"":{""N"":""6""},""temp"":{""N"":""5.323921""},""PM25"":{""N"":""1.2""}}"
"1639398464474","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""2.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1""}}"
"1639222464135","{""humidity"":{""N"":""0.750834""},""PM10"":{""N"":""16.8""},""temp"":{""N"":""7.349865""},""PM25"":{""N"":""3.7""}}"
"1638929528730","{""humidity"":{""N"":""0.798725""},""PM10"":{""N"":""6.7""},""temp"":{""N"":""5.191147""},""PM25"":{""N"":""2.5""}}"
"1639261973574","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.1""},""temp"":{""N"":""10.00172""},""PM25"":{""N"":""5.7""}}"
"1639312264797","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""16.1""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.9""}}"
"1638997764202","{""humidity"":{""N"":""0.762293""},""PM10"":{""N"":""4.2""},""temp"":{""N"":""5.43037""},""PM25"":{""N"":""1.8""}}"
"1638911570680","{""humidity"":{""N"":""0.987454""},""PM10"":{""N"":""10.5""},""temp"":{""N"":""4.80809""},""PM25"":{""N"":""2.1""}}"
"1639335606544","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""10.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.9""}}"
"1638986990972","{""humidity"":{""N"":""0.624772""},""PM10"":{""N"":""25.7""},""temp"":{""N"":""6.368179""},""PM25"":{""N"":""2.6""}}"
"1638877462450","{""humidity"":{""N"":""0.869811""},""PM10"":{""N"":""13.7""},""temp"":{""N"":""6.990654""},""PM25"":{""N"":""1.9""}}"
"1639260178296","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""7.8""},""temp"":{""N"":""10.00687""},""PM25"":{""N"":""3.8""}}"
"1639317651872","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""13.1""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.3""}}"
"1639074981292","{""humidity"":{""N"":""0.82265""},""PM10"":{""N"":""8.5""},""temp"":{""N"":""6.767456""},""PM25"":{""N"":""2.8""}}"
"1639064208986","{""humidity"":{""N"":""0.770841""},""PM10"":{""N"":""6.1""},""temp"":{""N"":""5.582603""},""PM25"":{""N"":""2.1""}}"
"1639333810957","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""9.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.4""}}"
